"Athlete Name","Host City","Host Country","Year","Athlete Team Country","Sport","Event","Medal"
"Foluke Akinradewo","Rio de Janeiro","Brazil","2016","USA","Women's Volleyball","Indoor","Bronze"
"Lucy Davis","Rio de Janeiro","Brazil","2016","USA","Equestrian","Team Show Jumping","Silver"
"Maya DiRado","Rio de Janeiro","Brazil","2016","USA","Women's Swimming","200 Backstroke","Gold"
"Maya DiRado","Rio de Janeiro","Brazil","2016","USA","Women's Swimming","800 Freestyle Relay","Gold"
"Maya DiRado","Rio de Janeiro","Brazil","2016","USA","Women's Swimming","400 Individual Medley","Silver"
"Maya DiRado","Rio de Janeiro","Brazil","2016","USA","Women's Swimming","200 Individual Medley","Bronze"
"Makenzie Fischer","Rio de Janeiro","Brazil","2016","USA","Women's Water Polo","--","Gold"
"Katie Ledecky","Rio de Janeiro","Brazil","2016","USA","Women's Swimming","200 Freestyle","Gold"
"Katie Ledecky","Rio de Janeiro","Brazil","2016","USA","Women's Swimming","400 Freestyle","Gold"
"Katie Ledecky","Rio de Janeiro","Brazil","2016","USA","Women's Swimming","800 Freestyle","Gold"
"Katie Ledecky","Rio de Janeiro","Brazil","2016","USA","Women's Swimming","800 Freestyle Relay","Gold"
"Katie Ledecky","Rio de Janeiro","Brazil","2016","USA","Women's Swimming","400 Freestyle Relay","Silver"
"Elle Logan","Rio de Janeiro","Brazil","2016","USA","Women's Rowing","Coxed Eight","Gold"
"Simone Manuel","Rio de Janeiro","Brazil","2016","USA","Women's Swimming","100 Freestyle","Gold"
"Simone Manuel","Rio de Janeiro","Brazil","2016","USA","Women's Swimming","400 Medley Relay","Gold"
"Simone Manuel","Rio de Janeiro","Brazil","2016","USA","Women's Swimming","50 Freestyle","Silver"
"Simone Manuel","Rio de Janeiro","Brazil","2016","USA","Women's Swimming","400 Freestyle Relay","Silver"
"Alex Massialas","Rio de Janeiro","Brazil","2016","USA","Men's Fencing","Foil","Silver"
"Alex Massialas","Rio de Janeiro","Brazil","2016","USA","Men's Fencing","Team Foil","Bronze"
"Lia Neal","Rio de Janeiro","Brazil","2016","USA","Women's Swimming","400 Freestyle Relay","Silver"
"Kiley Neushul","Rio de Janeiro","Brazil","2016","USA","Women's Water Polo","--","Gold"
"Melissa Seidemann","Rio de Janeiro","Brazil","2016","USA","Women's Water Polo","--","Gold"
"Erik Shoji","Rio de Janeiro","Brazil","2016","USA","Men's Volleyball","Indoor","Bronze"
"Kawika Shoji","Rio de Janeiro","Brazil","2016","USA","Men's Volleyball","Indoor","Bronze"
"Katerina Stefanidi","Rio de Janeiro","Brazil","2016","GRE","Women's Track & Field","Pole Vault","Gold"
"Maggie Steffens","Rio de Janeiro","Brazil","2016","USA","Women's Water Polo","--","Gold"
"Kerri Walsh Jennings","Rio de Janeiro","Brazil","2016","USA","Women's Volleyball","Beach�","Bronze"
"Foluke Akinradewo�","London","England","2012","USA","Women's Volleyball �","Indoor","Silver"
"Nicole Barnhart","London","England","2012","USA","Women's Soccer","--","Gold"
"Bob Bryan","London","England","2012","USA","Men's Tennis","Doubles","Gold"
"Mike Bryan","London","England","2012","USA","Men's Tennis","Doubles","Gold"
"Mike Bryan","London","England","2012","USA","Men's Tennis","Mixed Doubles","Bronze"
"Rachel Buehler","London","England","2012","USA","Women's Soccer","--","Gold"
"Annika Dries","London","England","2012","USA","Women's Water Polo","--","Gold"
"Kristian Ipsen","London","England","2012","USA","Men's Diving","3-Meter Synchro Springboard","Bronze"
"Elle Logan","London","England","2012","USA","Women's Rowing","Coxed Eight","Gold"
"Lia Neal","London","England","2012","USA","Women's Swimming","400m Freestyle Relay","Bronze"
"Kelley O'Hara","London","England","2012","USA","Women's Soccer","--","Gold"
"Melissa Seidemann","London","England","2012","USA","Women's Water Polo","--","Gold"
"Jessica Steffens","London","England","2012","USA","Women's Water Polo","--","Gold"
"Maggie Steffens","London","England","2012","USA","Women's Water Polo","--","Gold"
"Logan Tom�","London","England","2012","USA","Women's Volleyball�","Indoor","Silver"
"Brenda Villa","London","England","2012","USA","Women's Water Polo","--","Gold"
"Kerri�Walsh�","London","England","2012","USA","Women's Volleyball�","Beach�","Gold"
"Tony Azevedo","Beijing","China","2008","USA","Men's Water Polo","--","Silver"
"Nicole Barnhart","Beijing","China","2008","USA","Women's Soccer","--","Gold"
"Layne Beaubin","Beijing","China","2008","USA","Men's Water Polo","--","Silver"
"Elaine Breeden","Beijing","China","2008","USA","Women's Swimming","400m Medley Relay","Silver"
"Bob Bryan","Beijing","China","2008","USA","Men's Tennis","Doubles","Bronze"
"Mike Bryan","Beijing","China","2008","USA","Men's Tennis","Doubles","Bronze"
"Rachel Buehler","Beijing","China","2008","USA","Women's Soccer","--","Gold"
"John Gall","Beijing","China","2008","USA","Baseball","--","Bronze"
"Gabe Gardner","Beijing","China","2008","USA","Men's Volleyball","Indoor","Gold"
"Alison Gregorka","Beijing","China","2008","USA","Women's Water Polo","--","Silver"
"Kevin Hansen","Beijing","China","2008","USA","Men's Volleyball","Indoor","Gold"
"Peter Hudnut","Beijing","China","2008","USA","Men's Water Polo","--","Silver"
"Adam Kreek","Beijing","China","2008","CAN","Men's Rowing","Coxed Eight","Gold"
"Lauren Lappin","Beijing","China","2008","USA","Softball","--","Silver"
"Elle Logan","Beijing","China","2008","USA","Women's Rowing","Coxed Eight","Gold"
"Jessica Mendoza","Beijing","China","2008","USA","Softball","--","Silver"
"Ogonna Nnamani","Beijing","China","2008","USA","Women's Volleyball","Indoor�","Silver"
"Julia Smit","Beijing","China","2008","USA","Women's Swimming","400m Freestyle Relay","Silver"
"Julia Smit","Beijing","China","2008","USA","Women's Swimming","800m Freestyle Relay","Bronze"
"Jessica Steffens","Beijing","China","2008","USA","Women's Water Polo","--","Silver"
"Logan Tom","Beijing","China","2008","USA","Women's Volleyball","Indoor","Silver"
"Peter Varellas","Beijing","China","2008","USA","Men's Water Polo","--","Silver"
"Brenda Villa","Beijing","China","2008","USA","Women's Water Polo","--","Silver"
"Kerri Walsh","Beijing","China","2008","USA","Women's Volleyball","Beach","Gold"
"Ben Wildman-Tobriner","Beijing","China","2008","USA","Men's Swimming","400m Freestyle Relay","Gold"
"Margie Dingeldein","Athens","Greece","2004","USA","Women's Water Polo","--","Bronze"
"Erin Dobratz","Athens","Greece","2004","USA","Synchronized Swimming","Team","Bronze"
"Ellen Estes","Athens","Greece","2004","USA","Women's Water Polo","--","Bronze"
"Julie Foudy","Athens","Greece","2004","USA","Women's Soccer","--","Gold"
"Jackie Frank","Athens","Greece","2004","USA","Women's Water Polo","--","Bronze"
"Tara Kirk","Athens","Greece","2004","USA","Women's Swimming","400m Medley Relay","Silver"
"Sara Lowe","Athens","Greece","2004","USA","Synchronized Swimming","Team","Bronze"
"Samantha Magee","Athens","Greece","2004","USA","Women's Rowing","Coxed Eights","Silver"
"Jessica Mendoza","Athens","Greece","2004","USA","Softball","--","Gold"
"Patricia Miranda","Athens","Greece","2004","USA","Wrestling","Freestyle Flyweight (48kg)","Bronze"
"Markus Rogan","Athens","Greece","2004","AUT","Men's Swimming","100m Backstroke","Silver"
"Markus Rogan","Athens","Greece","2004","AUT","Men's Swimming","200m Backstroke","Silver"
"Toby Stevenson","Athens","Greece","2004","USA","Men's Track & Field","Pole Vault","Silver"
"Jenny Thompson","Athens","Greece","2004","USA","Women's Swimming","400m Freestyle Relay","Silver"
"Jenny Thompson","Athens","Greece","2004","USA","Women's Swimming","400m Medley Relay","Silver"
"Brenda Villa","Athens","Greece","2004","USA","Women's Water Polo","--","Bronze"
"Kerri Walsh","Athens","Greece","2004","USA","Women's Volleyball","Beach","Gold"
"Amy Chow","Sydney","Australia","2000","USA","Women's Gymnastics","Team All-Around","Bronze"
"Ellen Estes","Sydney","Australia","2000","USA","Women's Water Polo","--","Silver"
"Julie Foudy","Sydney","Australia","2000","USA","Women's Soccer","--","Silver"
"Chryste Gaines","Sydney","Australia","2000","USA","Women's Track & Field","4x100m Relay","Bronze"
"Misty Hyman","Sydney","Australia","2000","USA","Women's Swimming","200m Butterfly","Gold"
"Jenny Thompson","Sydney","Australia","2000","USA","Women's Swimming","400m Freestyle Relay","Gold"
"Jenny Thompson","Sydney","Australia","2000","USA","Women's Swimming","400m Medley Relay","Gold"
"Jenny Thompson","Sydney","Australia","2000","USA","Women's Swimming","800m Freestyle Relay","Gold"
"Jenny Thompson","Sydney","Australia","2000","USA","Women's Swimming","100m Freestyle","Bronze (tie)"
"Brenda Villa","Sydney","Australia","2000","USA","Women's Water Polo","--","Silver"
"Tom Wilkens","Sydney","Australia","2000","USA","Men's Swimming","200m Individual Medley","Bronze"
"Jennifer Azzi","Atlanta","Georgia","1996","USA","Women's Basketball","--","Gold"
"Amy Chow","Atlanta","Georgia","1996","USA","Women's Gymnastics","Team All-Around","Gold"
"Amy Chow","Atlanta","Georgia","1996","USA","Women's Gymnastics","Uneven Bars","Silver"
"Julie Foudy","Atlanta","Georgia","1996","USA","Women's Soccer","--","Gold"
"Catherine Fox","Atlanta","Georgia","1996","USA","Women's Swimming","400m Freestyle Relay","Gold"
"Catherine Fox","Atlanta","Georgia","1996","USA","Women's Swimming","400m Medley Relay","Gold"
"Chryste Gaines","Atlanta","Georgia","1996","USA","Women's Track","4x100m Relay","Gold"
"Kurt Grote","Atlanta","Georgia","1996","USA","Men's Swimming","400m Medley Relay","Gold"
"A.J. Hinch","Atlanta","Georgia","1996","USA","Baseball","--","Bronze"
"Joe Hudepohl","Atlanta","Georgia","1996","USA","Men's Swimming","800m Freestyle Relay","Gold"
"Lisa Jacob","Atlanta","Georgia","1996","USA","Women's Swimming","400m Freestyle Relay","Gold"
"Lisa Jacob","Atlanta","Georgia","1996","USA","Women's Swimming","800m Freestyle Relay","Gold"
